"NUTS","Country","Population_density","Percentage_early_leavers_from_education","Percentage_of_NEET","Percentage_of_people_studying_or_training","Life_expectancy","Hospital_beds","Air_passengers","Utilised_agricoltural_area","Unemployement_rate","GVA","First_wave_density","Second_wave_density","Latitude","Longitude","Students_in_tertiary_education","Students","Deaths","Discharges_after_respiratory_disease","Health_personnel","Vehicles","Farm_labour_force","Compensation_of_employees","Hours_worked","GDP"
"FR10","FR",1026.8,5.9,9.8,12.7,82.4153846153846,534.57,107991,571640,8.2,107.3,0.00246526945284475,0.00278963844857084,48.7196,2.5234,5806.54672146092,6761.09625493337,4.99472930890692,981.104346666578,386.289548183359,51534.8299649914,67.4446695402381,3110.24380393794,79258.9278152475,6041.29525657327
"FRM0","FR",39.6,6.9,18.8,7.5,84,596.41,4249,159000,8.1,109.2,0.000740168908858029,0.00102640610408047,42.1267,9.0976,1619.98687356701,4853.59979414052,268.62059693466,909.598198151313,300.115362263529,72074.2366285306,1188.31805289316,1518.12112748542,57621.1809741895,2827.91361997531
"HR03","HR",56,1.4,9.4,3.1,79.9,524.77,7692,467420,7.5,108.8,0.00191876267467947,0.0528613293618731,44.4289,15.5424,3607.94350277551,3846.5513953248,89.2188248379315,818.67692724279,327.849282502136,51951.0817424927,2670.6905361908,573.77919088777,74072.5148165456,1277.20661347123
"ITC1","IT",172.3,12,16.6,7,83.3,346.77,3997,948580,7.5,105,0.00747352777649559,0.0477651670050475,45.0634,7.9189,3046.14683046574,4609.37132136935,28.1463447560167,1034.90499318406,365.511640912531,77596.697173907,1288.03537377033,1278.0080427406,76466.1045825344,3195.89271428462
"ITC2","IT",38.6,11.86,14.7,7.5,83.6,359.01,12034.125,52490,5.8,101.5,0.00974934817729577,0.0538893420989491,45.7281,7.3925,922.948957883456,4629.94065614153,917.694387126701,1242.06215909273,368.69971367788,217527.232592735,1743.52576099301,1370.82713501927,87303.2935041669,3893.37300254331
"ITC3","IT",284.3,10.7,15.4,8.7,83.5,351.56,1539,37330,8.3,101,0.00692603615101002,0.0425924007067036,44.1573,8.1521,2256.97882905984,4252.74752660304,92.8971567903485,1318.64225819864,456.183197295954,62522.4123932829,769.923912630031,1217.12903636218,74889.5611696023,3262.05940874565
"ITC4","IT",435.8,11.9,15.7,7.9,84.2,350.53,49096,922320,5,106.4,0.00974460294694584,0.0477729371389092,45.6127,9.773,3274.18260118421,4932.7446382495,9.80214412179502,1053.73149034036,368.672390467831,69486.8125001371,523.854058029028,1574.79525015053,82641.5886869064,3976.81409772745
"ITF1","IT",120.5,8,15.5,6.9,83.7,293.07,699,424160,9.3,100.6,0.00276674129655062,0.0363300954216614,42.2341,13.8714,3807.36061381469,4435.28723488938,85.8864507732578,1071.37806128718,424.903453866907,79225.5597434504,2088.96696217215,997.031549351941,69954.758369972,2560.46836756854
"ITF2","IT",68.2,8.6,25.5,7.1,83.6,300.18,12034.125,174200,9.5,103.5,0.00167711536157809,0.0316122935218092,41.5949,14.5396,2797.52159618789,4193.78668689853,391.872645716035,678.166886288916,405.968401016918,84829.7594803604,3923.25200654874,815.830105551784,65216.4610203783,2159.47570179292
"ITF3","IT",422.2,17.3,28,5.3,82.1,252.21,10834,509000,17.9,101.7,0.000954632963495487,0.0430664988604102,41.0387,14.7373,3979.557234474,5103.47867691688,16.179041736175,846.967591672687,384.811794802756,69296.6370064615,1168.03798504344,756.777272557777,56427.2270494629,1919.2563981679
"ITF4","IT",206.8,15.6,22.7,5.5,83.7,283.3,8294,1184540,14,103.1,0.00124806965311303,0.0340894517372173,41.0043,16.5847,2305.15985991468,4668.32182186803,24.2953680528064,949.812878085551,379.479954114342,68240.2698501633,2423.28886842781,795.807558485875,62016.1105707756,1959.76075713865
"ITF5","IT",55.7,10.1,21,7.1,83,288.35,12034.125,484630,8.6,105.9,0.000891091614339887,0.0258217744471798,40.5157,16.0794,1404.77972142994,4181.62363037592,197.225867323146,1237.22557812506,339.084760345158,79523.1484996042,4122.88026837583,874.733847382938,66420.0891453112,2365.97476023671
"ITF6","IT",126.5,16.6,26.5,5.6,82.8,248.18,3536,498400,20.1,99.2,0.000726462560252572,0.0184989256167804,39.1604,16.3822,2449.43535486323,4642.65538960251,53.1790656297681,739.714166547877,383.18788243555,78563.652586175,2588.02287089979,686.85028852601,56888.3961332763,1774.94496095792
"ITG1","IT",192.1,19.4,29.3,4.7,82.3,281.95,18182,1326110,17.9,99.8,0.000794209164993262,0.0296811061495829,37.5704,14.1658,2447.52619844153,4874.86898215286,21.0711567927241,855.128617989904,434.086997901663,77692.5064970494,1782.66318516437,732.446685222828,53699.3840366419,1833.01998445221
"ITG2","IT",68.3,12,19.3,8.6,83.6,301.25,9097,1134540,13.3,99.6,0.000971692476084638,0.0242538413187716,40.0775,9.0348,2580.75564912594,4133.97442698997,61.7179845633682,1093.99170152288,471.264645968252,76769.476198188,2254.87257860254,877.396112361405,64123.4260412343,2187.59063079967
"ITH1","IT",72.2,14.2,10.4,7.1,84.5,349.97,37,227900,3.8,107.8,0.00531499463056,0.0909519303700032,46.7053,11.4241,888.961482716411,5214.36456620182,155.097964118623,1066.94152191708,332.304503570865,107059.687145636,2789.85588873619,1846.67432656709,101169.0923018,4790.42287156149
"ITH2","IT",88.2,7.9,11.6,10.8,84.9,347.06,12034.125,272540,5.3,105.6,0.0091818306824953,0.0489728193610487,46.1313,10.859,3352.98161983774,4950.26813952422,168.045102443049,800.843379016363,324.150891506623,145131.227941513,5876.15162487968,1397.22234954393,84620.0485859651,3844.20589448595
"ITH3","IT",282,10.5,12.6,7.6,84.3,328.97,18404,1616450,5.8,105.3,0.00441307912696784,0.0623584149069107,45.661,11.8546,2479.53888528966,4835.67469876308,20.4034200338462,1003.25201219151,346.373013402176,74219.1901716965,3728.1213691039,1335.9504649699,81993.4033362075,3378.88206777721
"ITH4","IT",159.9,8.5,11,8.7,83.9,326.82,780,439190,5.6,103.3,0.00293562678657885,0.0581421569602791,46.1665,13.0495,2734.33613880101,4503.42227262779,97.345749020076,1236.26282523197,394.290906437985,75232.9599342075,3249.83253413982,1345.60476730536,76889.7693282132,3214.31567812067
"ITH5","IT",201.9,9.3,13.2,9.2,84,371.56,9905,2086940,5.7,106.3,0.00686003218104177,0.0478356423742288,44.5224,11.0296,3796.60578044626,4767.9508543567,24.9437795005017,1403.86042576374,426.198315949911,74944.5075276891,3309.05157322195,1438.51003971892,83192.7128286679,3668.16139981931
"ITI1","IT",162.7,11.7,15.2,8.2,84.1,285.45,8233,1497770,6.6,103.7,0.00297409246443181,0.0370662048364886,43.4794,11.1306,3504.10488130847,4543.08737446023,31.2171382687597,1166.02190082477,439.045593092046,79727.0453656073,3507.86921251004,1218.11049530745,78582.5045259989,3215.31568250168
"ITI2","IT",105.5,11.2,14.9,8.1,84.5,302.88,218,639400,8.2,103.4,0.00181344917343262,0.0472806881453517,42.9717,12.4893,3115.84584532819,4475.58796320238,129.917889135968,1162.53813931841,442.674665149713,83756.069251234,4411.80695615199,1039.14774784093,73254.4057736176,2673.86989823769
"ITI3","IT",161.9,9.8,14.6,6.2,84.4,301.75,482,939040,7.4,102.6,0.00467847623278543,0.0371349506039644,43.3477,13.153,3423.01569672738,4692.55727613124,73.5466776670686,1107.04766135686,375.560597406444,78247.9612235832,3712.63565399505,1101.01198409173,76531.7861373781,2802.448250513
